"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:14:14 UTC 2025","passed","Tue Sep 09 15:14:14 UTC 2025","Certified Batches > Get Certified Meters by batch Status > {data} > {offset} > {limit}","Inventory Management","",""
"","182","schedulebyid","Meter Supplier","Tue Sep 09 15:14:23 UTC 2025","passed","Tue Sep 09 15:14:24 UTC 2025","{data} > {offset} > {limit}","Get Schedule by ID","",""
"","220","getapplogs","Meter Supplier","Tue Sep 09 15:14:23 UTC 2025","passed","Tue Sep 09 15:14:23 UTC 2025","{offset} > {limit}","Get logs","",""
"","182","msschedulebatch","Meter Supplier","Tue Sep 09 15:14:22 UTC 2025","passed","Tue Sep 09 15:14:22 UTC 2025","{data} > {vendor} > {disco} > {offset} > {limit}","Get schedule by batch","",""
"","181","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:14:14 UTC 2025","passed","Tue Sep 09 15:14:14 UTC 2025","Certified Batches > Get Certified Meters by Meter Brand > {data} > {offset} > {limit}","Inventory Management","",""
"","182","msbatchshow","Meter Supplier","Tue Sep 09 15:14:16 UTC 2025","passed","Tue Sep 09 15:14:17 UTC 2025","Transfered Batches > Get Meter batch Summary > {data} > {vendorid}","Inventory Management","",""
"","181","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:14:14 UTC 2025","passed","Tue Sep 09 15:14:14 UTC 2025","Certified Batches > Get Certified Meters by batch number > {data} > {offset} > {limit}","Inventory Management","",""
"","182","msinventtrack","Meter Supplier","Tue Sep 09 15:14:15 UTC 2025","passed","Tue Sep 09 15:14:15 UTC 2025","Transfered Batches > Get Transfered Meter Batches > {data} > {offset} > {limit}","Inventory Management","",""
"","181","uploadmeters","Meter Supplier","Tue Sep 09 15:14:25 UTC 2025","passed","Tue Sep 09 15:14:25 UTC 2025","","Upload Meters","",""
"","180","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:14:13 UTC 2025","passed","Tue Sep 09 15:14:13 UTC 2025","Uploaded Batches > Get Meters group by batch > {data} > {offset} > {limit}","Inventory Management","",""
"","183","update activity","Meter Supplier","Tue Sep 09 15:14:17 UTC 2025","passed","Tue Sep 09 15:14:17 UTC 2025","User Management > Post User activities","Settings","",""
"","182","msinventorycards","Meter Supplier","Tue Sep 09 15:14:12 UTC 2025","passed","Tue Sep 09 15:14:13 UTC 2025","Dashboard > Meter Inventory dashboard > {data}","Inventory Management","",""
"","184","msbatchschedule - Pending","Meter Supplier","Tue Sep 09 15:14:12 UTC 2025","passed","Tue Sep 09 15:14:12 UTC 2025","Get Pending schedule by batch ID > {status} > {vendor} > {offset} > {limit}","Installation Management","",""
"","183","metercost","Meter Supplier","Tue Sep 09 15:14:25 UTC 2025","passed","Tue Sep 09 15:14:25 UTC 2025","","Get Meter cost","",""
"","181","Metersupplier canceltransfer","Meter Supplier","Tue Sep 09 15:14:24 UTC 2025","passed","Tue Sep 09 15:14:24 UTC 2025","","Cancel Meter Transfer","",""
"","181","Metersupplier getmeterbatch","Meter Supplier","Tue Sep 09 15:14:16 UTC 2025","passed","Tue Sep 09 15:14:16 UTC 2025","Transfered Batches > Get Transfered Meter by batch with Meter ID > {data} > {vendorid} > {offset} > {limit}","Inventory Management","",""
"","182","msbatchschedule - Pending","Meter Supplier","Tue Sep 09 15:14:11 UTC 2025","passed","Tue Sep 09 15:14:12 UTC 2025","Get Completed schedule batch > {status} > {vendor} > {offset} > {limit}","Installation Management","",""
"","182","postcomment","Meter Supplier","Tue Sep 09 15:14:22 UTC 2025","passed","Tue Sep 09 15:14:22 UTC 2025","","Post Comment","",""
"","186","uploadmeterraw","Meter Supplier","Tue Sep 09 15:14:24 UTC 2025","passed","Tue Sep 09 15:14:25 UTC 2025","","Upload Meters by CSV","",""
"","182","transferprogress","Meter Supplier","Tue Sep 09 15:14:16 UTC 2025","passed","Tue Sep 09 15:14:16 UTC 2025","Transfered Batches > Meter Transfer Progress > {data} > {vendorid}","Inventory Management","",""
"","180","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:14:13 UTC 2025","passed","Tue Sep 09 15:14:13 UTC 2025","Uploaded Batches > Get Meters group by batch Status > {data} > {offset} > {limit}","Inventory Management","",""
"","179","/api/Metersupplier/metercost/:data/:offset/:limit","Meter Supplier","Tue Sep 09 15:14:25 UTC 2025","passed","Tue Sep 09 15:14:25 UTC 2025","{data} > {offset} > {limit}","Get Meter cost","",""
"","183","msinventorybatchview","Meter Supplier","Tue Sep 09 15:14:13 UTC 2025","passed","Tue Sep 09 15:14:13 UTC 2025","Uploaded Batches > Get Inventory quick view > {data}","Inventory Management","",""
"","181","installermsdisco","Meter Supplier","Tue Sep 09 15:14:12 UTC 2025","passed","Tue Sep 09 15:14:12 UTC 2025","Get Customer's Installation Schedule > Get Meter Installer for a DISCO > {data} > {disco}","Installation Management","",""
"","199","verifyaccountcode","Meter Supplier","Tue Sep 09 15:14:25 UTC 2025","passed","Tue Sep 09 15:14:25 UTC 2025","{data} > {code}","Verify User","",""
"","183","msinstallationquick","Meter Supplier","Tue Sep 09 15:14:11 UTC 2025","passed","Tue Sep 09 15:14:11 UTC 2025","Get installation quick view > {data}","Installation Management","",""
"","178","logout","Meter Supplier","Tue Sep 09 15:14:26 UTC 2025","passed","Tue Sep 09 15:14:26 UTC 2025","","Logout","",""
